Mint_Scheme,Unnamed: 0,Amfi_Code,NAV,S_NAME,FH
Canara Robeco Ultra Short Term Fund Reg.plan (G),29,109371,3402.273,CANARA ROBECO ULTRA SHORT TERM FUND,CANARA
PGIM India Ultra Short Duration Fund (G),30,138343,30.4916,PGIM India Ultra Short Duration Fund,PGIM
PGIM India Mid Cap Opp Fund Reg (G),31,125305,47.96,PGIM India Midcap Opportunities Fund,PGIM
Nippon India Taiwan Equity Fund Reg (G),32,149328,8.4358,Nippon India Taiwan Equity fund,Nippon
Canara Robeco Small Cap Fund Reg (G),33,146127,29.46,CANARA ROBECO SMALL CAP FUND,CANARA
Canara Robeco Bluechip Equity Fund (G),34,113221,45.76,CANARA ROBECO BLUE CHIP EQUITY FUND,CANARA
PGIM India Flexi Cap Fund (G),35,133836,27.42,PGIM India Flexi Cap Fund,PGIM
SBI Savings Fund Reg (G),36,102503,36.8379,SBI  SAVINGS FUND,SBI
ICICI Pru Value Discovery Fund (G),37,102594,325.21,ICICI Prudential Value Discovery Fund,ICICI
Mirae Asset Balanced Advantage Fund Reg (G),38,150473,11.231,Mirae Asset Balanced Advantage Fund Regular Plan,Mirae
Quant Large Cap Fund Reg (G),39,150441,10.9841,quant Large Cap Fund,quant
SBI Large & Midcap Fund Reg (G),40,103024,443.9678,SBI LARGE & MIDCAP FUND,SBI
ICICI Pru Ultra Short Term Fund Reg (G),41,115092,24.574,ICICI Prudential Ultra Short Term Fund,ICICI
Quant Small Cap Fund (G),42,100177,179.946,quant Small Cap Fund,quant
ICICI Pru Smallcap Fund Reg (G),43,106823,66.84,ICICI Prudential Smallcap Fund,ICICI
SBI Magnum Ultra Short Duration Fund Reg (G),44,100641,5304.3177,SBI MAGNUM ULTRA SHORT DURATION FUND,SBI
Axis Ultra Short Term Fund Reg (G),45,144759,13.1545,Axis Ultra Short Term Fund,Axis
Quant Multi Asset Fund (G),46,101072,95.2334,quant Multi Asset Fund,quant
